id,target_credit_approval,company_name,sector,creation_year,number_employes,revenues_million,bankruptcy,debts,loan_before,partner_debts,financial_restrictions,purchase_past,purchase_mean_million,purchase_countdays,purchase_payments,purchase_frequency,interest_rate,right_payment
94,true,"Olympic Steel, Inc.",Metal Fabrications,2010,935,$50.52,true,false,true,true,false,true,$5.91,330,1,Seldom,3.1,true
95,true,"HMN Financial, Inc.",Savings Institutions,1984,94,$90.02,false,false,true,true,true,false,$7.39,173,9,Seldom,4.8,true
96,true,EnteroMedics Inc.,Biotechnology: Electromedical & Electrotherapeutic Apparatus,1988,14,$370.22,true,false,false,false,true,false,$4.56,190,10,Seldom,4.1,false
97,false,"Impax Laboratories, Inc.",Major Pharmaceuticals,1992,574,$70.17,false,true,true,true,true,true,$6.46,88,3,Yearly,2.8,true
98,true,Olin Corporation,Major Chemicals,2006,660,$77.64,true,true,true,false,false,false,$2.10,334,3,Often,0.1,false
99,true,Global X Robotics & Artificial Intelligence ETF,n/a,2000,440,$414.83,true,false,false,false,true,false,$5.45,96,3,Never,1.3,true
100,true,Blackstone GSO Long Short Credit Income Fund,n/a,2010,577,$294.35,true,false,true,false,false,false,$0.21,338,6,Often,3.1,false
101,true,US Foods Holding Corp.,Food Distributors,2011,906,$12.53,true,true,false,true,true,true,$2.53,279,12,Seldom,1.1,true
102,true,At Home Group Inc.,Home Furnishings,2011,922,$146.93,true,false,false,false,false,true,$9.47,293,9,Seldom,2.0,true
103,false,"Clear Channel Outdoor Holdings, Inc.",Advertising,2009,745,$39.59,false,false,true,true,false,true,$7.61,221,7,Seldom,2.2,true
104,true,Cherokee Inc.,Apparel,1994,127,$485.99,false,true,false,false,false,true,$0.85,249,6,Once,4.1,true
105,false,Quidel Corporation,Biotechnology: In Vitro & In Vivo Diagnostic Substances,2002,619,$476.52,true,false,true,false,true,false,$0.67,229,8,Seldom,2.9,true
106,true,"BCE, Inc.",Telecommunications Equipment,1985,44,$349.24,false,true,false,true,true,false,$4.44,141,9,Often,2.9,true
107,false,Diana Shipping inc.,n/a,2011,996,$365.01,true,true,true,true,false,true,$0.56,46,9,Yearly,3.7,true
108,true,"THL Credit, Inc.",n/a,2003,834,$182.99,true,false,false,true,true,true,$0.57,167,3,Never,1.7,false
109,true,"Porter Bancorp, Inc.",Major Banks,1994,939,$133.53,false,true,true,true,true,false,$4.99,193,2,Never,0.5,false
110,true,Lifevantage Corporation,Major Pharmaceuticals,1990,680,$449.41,false,true,true,false,false,true,$0.02,131,11,Yearly,4.6,false
111,false,"Twenty-First Century Fox, Inc.",Television Services,1988,208,$474.30,true,false,true,true,false,false,$7.97,346,2,Daily,4.0,true
112,false,PowerShares FTSE International Low Beta Equal Weight Portfolio,n/a,2006,433,$68.63,true,false,false,false,true,true,$0.03,348,5,Daily,4.9,false
113,false,Vornado Realty Trust,Real Estate Investment Trusts,2002,783,$87.62,true,false,false,false,false,false,$3.08,185,11,Monthly,1.5,false
114,false,First Trust Alternative Absolute Return Strategy ETF,n/a,2009,868,$492.97,true,true,true,false,false,true,$3.02,317,8,Seldom,2.0,false
115,true,Harmony Merger Corp.,Oil & Gas Production,1976,876,$50.75,false,true,false,true,false,true,$9.61,332,4,Never,0.2,false
116,false,Weingarten Realty Investors,Real Estate Investment Trusts,1986,457,$416.99,true,true,true,true,true,true,$3.24,322,11,Daily,2.3,false
117,false,The ExOne Company,Industrial Machinery/Components,2009,695,$435.65,false,false,true,true,false,true,$1.20,153,3,Yearly,4.2,false
118,false,"Caterpillar, Inc.",Construction/Ag Equipment/Trucks,2003,165,$476.51,false,false,false,false,false,true,$8.67,121,9,Yearly,4.4,true
119,true,Gladstone Investment Corporation,n/a,1999,865,$452.57,true,true,true,false,true,false,$8.14,214,3,Often,2.1,false
120,true,Pacific Special Acquisition Corp.,Business Services,1995,831,$200.30,true,true,false,false,true,true,$0.55,25,11,Weekly,2.5,true
121,true,Amec Plc Ord,Military/Government/Technical,1986,22,$82.77,true,true,false,true,false,true,$5.63,270,1,Seldom,0.5,false
122,false,"Idera Pharmaceuticals, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),2007,860,$155.68,true,true,true,true,true,true,$8.39,293,3,Often,1.4,true
123,true,Ascendis Pharma A/S,Major Pharmaceuticals,2003,439,$319.81,false,false,true,true,true,false,$3.26,191,11,Seldom,3.8,false
124,true,CU Bancorp (CA),Major Banks,1997,917,$29.79,true,false,true,true,false,false,$6.89,193,8,Never,2.0,false
125,false,Marine Petroleum Trust,Oil & Gas Production,2005,794,$429.56,false,false,false,true,true,true,$5.29,168,2,Weekly,1.2,false
126,false,WashingtonFirst Bankshares Inc,Major Banks,2000,268,$215.54,true,false,true,true,false,false,$3.35,352,11,Never,3.5,false
127,false,"Mueller Industries, Inc.",Metal Fabrications,1992,844,$258.97,true,true,false,true,true,true,$7.79,322,5,Daily,2.9,false
128,true,DAVIDsTEA Inc.,Food Chains,1993,174,$135.42,true,true,true,false,false,false,$7.76,103,8,Never,2.3,false
129,true,"Flex Pharma, Inc.",Major Pharmaceuticals,1994,88,$85.66,false,true,false,false,false,false,$1.18,32,7,Yearly,3.5,true
130,false,DAVIDsTEA Inc.,Food Chains,1995,485,$403.44,false,false,false,true,false,false,$4.09,75,4,Seldom,0.2,false
131,false,"Titan Pharmaceuticals, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),2000,426,$285.97,true,false,true,true,false,true,$1.98,31,1,Yearly,3.8,false
132,true,First Trust Cloud Computing ETF,n/a,1988,145,$400.09,false,true,true,false,true,false,$4.06,67,12,Never,1.3,true
133,true,J P Morgan Chase & Co,n/a,1992,595,$99.75,true,false,true,false,true,true,$0.92,140,2,Seldom,1.1,true
134,true,"Empire Resorts, Inc.",Restaurants,1985,649,$175.43,true,true,true,false,false,false,$0.17,111,12,Never,1.5,false
135,true,Canada Goose Holdings Inc.,Apparel,2006,890,$378.22,false,false,false,false,false,false,$3.89,164,10,Monthly,2.4,true
136,true,"Premier, Inc.",Other Consumer Services,2003,731,$85.58,true,false,true,true,true,false,$5.66,315,6,Monthly,0.3,true
137,true,Arlington Asset Investment Corp,Finance/Investors Services,1992,434,$95.81,false,false,false,false,true,false,$2.61,265,8,Weekly,0.0,false
138,true,"Heat Biologics, Inc.",Major Pharmaceuticals,2011,536,$13.92,false,false,true,true,false,true,$8.32,305,1,Weekly,2.4,false
139,false,"Build-A-Bear Workshop, Inc.",Recreational Products/Toys,1964,856,$111.81,false,false,false,false,true,true,$7.59,176,10,Often,2.6,true
140,false,Weatherford International plc,Metal Fabrications,1995,36,$229.41,false,true,true,true,true,false,$8.59,335,8,Once,4.2,false
141,true,Cemtrex Inc.,Industrial Machinery/Components,1987,546,$436.05,false,true,false,true,false,true,$5.64,120,11,Once,0.5,false
142,true,RAIT Financial Trust,Real Estate Investment Trusts,2008,858,$224.11,true,true,true,true,false,false,$1.29,103,12,Often,0.6,true
143,false,ClearSign Combustion Corporation,Industrial Machinery/Components,1994,273,$71.19,true,false,true,true,true,true,$3.55,59,6,Monthly,0.9,false
144,true,Williams Partners LP,Natural Gas Distribution,1983,13,$306.15,false,false,true,false,false,false,$6.69,225,2,Daily,2.8,true
145,false,"Wynn Resorts, Limited",Hotels/Resorts,2003,704,$391.33,false,false,true,false,false,false,$6.97,196,12,Seldom,4.5,false
146,false,American Superconductor Corporation,Metal Fabrications,1996,80,$304.35,false,false,true,false,false,true,$6.47,52,5,Often,4.4,false
147,true,"Nuveen New York Municipal Value Fund, Inc.",n/a,2007,179,$238.57,true,true,true,true,true,false,$8.27,31,1,Monthly,1.0,true
148,false,Cooper Tire & Rubber Company,Automotive Aftermarket,2004,87,$366.88,true,false,false,false,true,true,$2.01,59,2,Monthly,1.8,true
149,true,"Spectrum Pharmaceuticals, Inc.",Major Pharmaceuticals,1992,816,$74.15,true,false,true,true,false,true,$3.17,84,8,Daily,3.2,false
150,false,Matlin & Partners Acquisition Corporation,Business Services,2001,515,$330.68,true,false,true,false,false,false,$5.11,189,6,Yearly,2.0,false
151,true,Invesco Quality Municipal Income Trust,n/a,1994,316,$410.48,false,false,false,true,true,false,$4.83,215,3,Often,0.8,true
152,true,"ADOMANI, Inc.",n/a,2009,173,$337.08,true,true,false,false,true,false,$3.65,222,6,Monthly,3.6,true
153,true,Gencor Industries Inc.,Construction/Ag Equipment/Trucks,2012,928,$274.06,false,true,false,false,true,true,$5.08,35,11,Once,3.8,true
154,false,"Synthesis Energy Systems, Inc.",Major Chemicals,1998,312,$34.78,true,true,false,false,false,false,$4.59,237,10,Seldom,0.7,false
155,false,First Trust Nasdaq Retail ETF,n/a,2000,554,$374.21,false,true,true,true,false,true,$1.60,239,2,Often,2.3,true
156,true,"Zafgen, Inc.",Major Pharmaceuticals,2009,305,$267.94,false,false,false,false,true,true,$2.95,143,1,Yearly,0.9,true
157,false,PHH Corp,Diversified Financial Services,2001,4,$491.25,true,false,false,false,true,false,$9.63,225,5,Once,0.1,false
158,false,Nordic American Offshore Ltd,Marine Transportation,2002,625,$63.40,false,true,false,false,true,true,$4.66,88,7,Often,2.6,false
159,true,Boulevard Acquisition Corp. II,Business Services,2006,633,$165.91,false,false,false,true,true,true,$2.94,77,3,Never,1.8,true
160,true,"Onconova Therapeutics, Inc.",Major Pharmaceuticals,1986,212,$349.85,false,false,false,true,false,true,$3.21,35,6,Seldom,3.0,true
161,false,Grupo Supervielle S.A.,Commercial Banks,2010,674,$56.63,true,false,true,true,false,true,$3.92,115,5,Monthly,2.0,false
162,true,Long Island Iced Tea Corp.,Beverages (Production/Distribution),1998,792,$346.75,true,false,false,false,false,true,$6.72,263,5,Once,2.5,false
163,true,"Key Technology, Inc.",Industrial Machinery/Components,1995,799,$476.07,true,false,false,false,false,false,$9.98,256,10,Weekly,3.7,false
164,true,La-Z-Boy Incorporated,Home Furnishings,1996,486,$337.83,true,false,true,false,true,true,$6.60,175,11,Yearly,3.7,false
165,false,"PowerShares QQQ Trust, Series 1",n/a,1979,617,$351.79,false,true,true,true,true,false,$4.64,358,10,Never,4.8,true
166,false,Deutsche Bank AG,Major Banks,2007,50,$452.64,false,true,true,true,false,true,$9.19,302,11,Yearly,0.3,false
167,true,X-Links Gold Shares Covered Call ETN,Investment Bankers/Brokers/Service,2000,391,$398.00,true,false,false,true,true,false,$8.13,70,4,Seldom,4.0,false
168,true,"PhaseRx, Inc.",Major Pharmaceuticals,1995,254,$253.82,false,true,true,false,false,true,$5.25,325,9,Weekly,0.4,true
169,true,Nuveen Senior Income Fund,n/a,2005,312,$174.40,false,false,true,true,false,false,$3.20,87,11,Seldom,3.2,false
170,false,Public Storage,Real Estate Investment Trusts,2004,890,$98.06,true,true,true,true,true,true,$8.28,133,11,Never,1.5,true
171,false,"Agilent Technologies, Inc.",Biotechnology: Laboratory Analytical Instruments,1999,414,$246.14,false,false,true,true,false,false,$9.95,67,5,Monthly,4.8,false
172,false,Hallador Energy Company,Coal Mining,1992,954,$270.93,true,true,true,false,true,false,$4.27,313,10,Never,5.0,false
173,false,Colonial Municipal Income Trust,n/a,1999,568,$91.28,true,true,false,true,true,true,$1.62,201,5,Daily,2.1,false
174,true,First Trust Latin America AlphaDEX Fund,n/a,1909,329,$496.74,true,true,true,true,false,true,$7.50,217,8,Weekly,1.9,true
175,false,Stellus Capital Investment Corporation,n/a,2000,295,$150.29,true,true,true,false,false,true,$6.45,134,7,Often,1.3,true
176,true,Guggenheim Credit Allocation Fund,n/a,2001,535,$145.49,true,false,true,true,false,false,$5.03,140,3,Once,4.8,false
177,false,Capital One Financial Corporation,n/a,2010,80,$178.14,false,false,false,false,true,false,$6.99,320,8,Monthly,3.8,true
178,true,Hovnanian Enterprises Inc,Homebuilding,2003,791,$169.05,false,false,true,true,true,true,$5.78,211,3,Seldom,4.5,false
179,false,"Donegal Group, Inc.",Property-Casualty Insurers,2001,256,$292.71,true,true,true,false,false,false,$2.47,212,8,Yearly,0.1,false
180,false,Global Partner Acquisition Corp.,Hospital/Nursing Management,2006,158,$253.45,false,false,false,false,true,false,$1.18,17,1,Seldom,4.1,false
181,true,"B. Riley Financial, Inc.",Business Services,2003,937,$287.60,true,true,false,false,true,false,$0.29,266,12,Monthly,4.0,false
182,true,Seadrill Limited,Oil & Gas Production,2008,550,$358.28,false,false,true,false,false,false,$2.41,204,10,Daily,4.1,false
183,true,Brainstorm Cell Therapeutics Inc.,Biotechnology: Biological Products (No Diagnostic Substances),1992,277,$281.34,true,false,true,false,false,true,$3.01,84,11,Often,3.7,true
184,false,SPDR Dorsey Wright Fixed Income Allocation ETF,n/a,2004,659,$224.58,false,true,true,true,true,true,$2.54,44,2,Monthly,0.9,true
185,true,"NiSource, Inc",Power Generation,2001,137,$466.73,false,true,true,true,true,true,$4.69,279,6,Weekly,2.2,true
186,false,"Intermolecular, Inc.",Semiconductors,2010,137,$155.00,false,false,true,true,true,true,$6.30,168,1,Often,3.1,false
187,true,"Trupanion, Inc.",Medical Specialities,2012,664,$350.77,false,false,false,false,true,false,$6.53,36,4,Weekly,0.4,true
188,true,"ONE Gas, Inc.",Oil/Gas Transmission,2004,161,$92.63,true,false,false,true,false,false,$9.78,105,3,Weekly,2.1,false
189,true,First Trust Emerging Markets Local Currency Bond ETF,n/a,2013,340,$366.22,false,false,true,false,false,true,$6.39,56,3,Weekly,4.2,true
190,true,Western Alliance Bancorporation,Major Banks,1968,360,$378.45,true,false,true,false,false,false,$8.07,216,3,Weekly,2.4,true
191,false,First Trust Alternative Absolute Return Strategy ETF,n/a,2011,740,$479.63,true,false,false,false,true,false,$4.34,247,5,Seldom,2.6,false
192,false,Janus Henderson SG Global Quality Income ETF,n/a,2012,544,$266.26,false,false,true,false,false,true,$4.00,167,6,Daily,5.0,true
193,true,"Gartner, Inc.",Other Consumer Services,2010,556,$57.57,false,false,false,true,false,false,$5.93,308,1,Never,3.0,false
194,true,"Sensus Healthcare, Inc.",Medical/Dental Instruments,2007,270,$439.53,false,true,false,false,false,true,$6.48,352,7,Often,3.5,true
195,false,"Depomed, Inc.",Major Pharmaceuticals,2012,909,$153.36,true,true,true,false,true,false,$4.02,6,7,Monthly,1.6,true
196,true,First Trust Indxx Global Agriculture ETF,n/a,1993,50,$457.25,true,true,true,true,true,false,$9.96,237,2,Once,2.8,true
197,false,MYOS RENS Technology Inc.,Major Pharmaceuticals,1994,947,$490.64,false,false,false,true,true,true,$5.03,103,10,Monthly,3.3,false
198,true,"Mitcham Industries, Inc.",Diversified Commercial Services,2012,684,$305.07,false,true,true,true,true,false,$4.77,100,8,Never,3.8,true
199,true,"Nasdaq, Inc.",Investment Bankers/Brokers/Service,2008,384,$85.62,true,false,true,false,false,false,$5.19,127,3,Once,4.6,true
200,true,OceanFirst Financial Corp.,Savings Institutions,2006,650,$150.60,true,true,true,true,false,true,$9.88,196,4,Once,2.4,false
